Average Dollar per Unit traded,Net realized gains YTD,Net realized losses YTD,Total dollar value traded,Total units traded,Days since last login,Days since last trade,Id,Age,Age Group,Children,DOB,Estimated income,Gender,Homeowner,Status,Address 1,Address 2,City,Latitude,Longitude,State,Country,Churn Risk
12.41084337,0,25.7525,1030.1,83,1,14,1355,26,Young adult,2,9/2/86,98003.7,F,Y,M,706 S 10TH AVE,,TOXEY,,,AL,United States,Medium
12.41084337,0,25.7525,1030.1,83,4,15,1495,26,Young adult,2,7/25/95,98003.7,F,Y,M,34 ASHLEY ST,,BROOKFIELD,,,OH,United States,Medium
12.41084337,0,25.7525,1030.1,83,1,14,1638,26,Young adult,2,12/28/40,98003.7,F,Y,M,7572 W UNIVERSITY AVE,,BRAZORIA,,,TX,United States,Medium
12.41084337,0,25.7525,1030.1,83,1,15,1760,26,Young adult,2,12/15/69,98003.7,F,Y,M,741 W BARAGA AVE,,NEWTON,41.05648,-74.757216,NJ,United States,Medium
12.41084337,0,51.505,1030.1,83,4,15,1876,26,Young adult,2,1/11/25,98003.7,F,Y,M,8 FORT POINT ST,,CEIBA,,,PR,United States,High
12.41084337,0,25.7525,1030.1,83,4,14,2019,26,Young adult,2,2/16/32,98003.7,F,Y,M,5962 MILLERSVILLE RD,,MERCEDES,26.141989,-97.920607,TX,United States,Medium
13.18318182,0,7.25075,290.03,22,5,12,91,53,Adult,2,6/6/45,87578.2,F,Y,M,PO BOX G,,NEW BEDFORD,,,MA,United States,Medium
13.18318182,0,14.5015,290.03,22,4,17,367,53,Adult,2,3/14/34,87578.2,F,Y,M,253 CALLE LICEO,,NAPLES,,,FL,United States,High
13.18318182,0,7.25075,290.03,22,1,15,647,53,Adult,2,9/10/50,87578.2,F,Y,M,5247 RELLUK DR,,PADEN,,,OK,United States,Medium
13.18318182,0,7.25075,290.03,22,5,12,951,53,Adult,2,8/13/84,87578.2,F,Y,M,8867 84TH ST SE,,CARROLLTON,,,TX,United States,Medium
13.18318182,0,7.25075,290.03,22,2,11,1167,53,Adult,2,10/13/11,87578.2,F,Y,M,3305 BENT CREEK CT APT 1,,PITTSBURGH,,,PA,United States,Medium
13.18318182,0,7.25075,290.03,22,1,12,1309,53,Adult,2,10/20/67,87578.2,F,Y,M,31 VILLAGE DR,,TAYLOR,,,PA,United States,Medium
13.18318182,0,7.25075,290.03,22,3,15,1448,53,Adult,2,1/30/26,87578.2,F,Y,M,2657 S LAUREL ST,,GRAND RAPIDS,42.944807,-85.679862,MI,United States,Medium
13.18318182,0,14.5015,290.03,22,3,15,1592,53,Adult,2,9/24/32,87578.2,F,Y,M,3636 ROBIN CREEK LN,,ROSENBERG,,,TX,United States,High
13.18318182,0,14.5015,290.03,22,5,15,1714,53,Adult,2,5/18/60,87578.2,F,Y,M,RR 2,,RADISSON,,,WI,United States,High
13.18318182,0,14.5015,290.03,22,4,20,1831,53,Adult,2,3/31/48,87578.2,F,Y,M,404 MERIDIAN ST APT 7,,COLUMBIA CITY,,,IN,United States,High
13.18318182,0,14.5015,290.03,22,1,15,1946,53,Adult,2,6/25/93,87578.2,F,Y,M,2916 KENDALE DR APT 129,,RIO GRANDE,,,PR,United States,High
13.21571429,0,9.251,370.04,28,5,13,12,48,Adult,0,6/14/33,78851.3,F,N,S,4716 SW VIOLA CT,,TENAFLY,,,NJ,United States,Medium
13.21571429,0,9.251,370.04,28,1,14,289,48,Adult,0,11/27/26,78851.3,F,N,S,4309 43RD ST APT 2E,,MOCA,,,PR,United States,Medium
13.21571429,0,9.251,370.04,28,3,10,567,48,Adult,0,8/10/83,78851.3,F,N,S,UNIT 23809,,DERRY,,,NH,United States,Medium
13.21571429,0,18.502,370.04,28,1,17,705,48,Adult,0,6/7/53,55000,F,N,M,8610 107TH AVE SE,,LYONS,38.346286,-98.200038,KS,United States,High
13.21571429,0,9.251,370.04,28,4,14,873,48,Adult,0,4/4/62,78851.3,F,N,S,3717 FAWN VALLEY DR APT 2056,,MANAHAWKIN,,,NJ,United States,Medium
13.21571429,0,18.502,370.04,28,4,15,1434,48,Adult,0,10/29/82,78851.3,F,N,M,460 MAY VALLEY LN APT E,,CARYVILLE,,,FL,United States,High
13.21571429,0,9.251,370.04,28,2,15,2061,48,Adult,0,6/1/86,78851.3,F,N,S,792 SOUTH BLVD,,SAN SEBASTIAN,,,PR,United States,Medium
13.40133333,0,50.255,2010.2,150,3,13,74,64,Adult,2,2/26/81,76231.9,F,N,S,4800 COBBHAM RD,,JOLIET,41.52053,-88.119607,IL,United States,Medium
13.40133333,0,50.255,2010.2,150,2,15,349,64,Adult,2,8/2/90,76231.9,F,N,S,4396 KABY,,ALICE,27.749042,-98.070999,TX,United States,Medium
13.40133333,0,50.255,2010.2,150,1,10,629,64,Adult,2,7/21/80,76231.9,F,N,S,869 E NELSON ST,,NORWALK,,,CT,United States,Medium
13.40133333,0,100.51,2010.2,150,4,15,934,64,Adult,2,6/12/47,76231.9,F,N,S,101 KINGS RD,,SCARSDALE,,,NY,United States,High
14.74284483,0,85.5085,1710.17,116,1,18,189,23,Young adult,2,7/14/77,60095.2,M,Y,S,1116 HAWKINS RD,,HUALAPAI,,,AZ,United States,High
14.74284483,0,85.5085,1710.17,116,1,18,1193,23,Young adult,2,8/4/06,60095.2,M,Y,S,PO BOX 3583,,CLEWISTON,,,FL,United States,High
14.74284483,0,85.5085,1710.17,116,4,16,1982,23,Young adult,2,9/19/99,60095.2,M,Y,S,BUZON 1157,,KANKAKEE,41.123314,-87.861696,IL,United States,High
15.48932927,0,127.0125,2540.25,164,2,15,185,57,Adult,2,5/7/89,47010.1,F,N,M,101 BROADWAY,,PHOENIX,,,AZ,United States,High
15.48932927,0,63.50625,2540.25,164,4,13,462,57,Adult,2,7/19/58,47010.1,F,N,M,38832 N KELLEY RD,,JEFFERSON CITY,38.570541,-92.19114,MO,United States,Medium
15.48932927,0,127.0125,2540.25,164,1,20,769,57,Adult,2,8/16/65,47010.1,F,N,M,360 BROADWAY,,NEW PROVIDENCE,,,NJ,United States,High
15.48932927,0,63.50625,2540.25,164,3,15,1040,57,Adult,2,3/31/13,47010.1,F,N,M,4920 N 550 E,,NEW ROADS,30.70306,-91.430981,LA,United States,Medium
17.002,0,4.2505,170.02,10,1,13,168,56,Adult,0,3/6/14,73400,F,Y,M,1750 N COLLINS BLVD STE 119,,GREENWICH,,,NY,United States,Medium
17.002,0,8.501,170.02,10,4,20,444,56,Adult,0,1/6/05,78000,F,Y,M,PO BOX 159,,LAKE CITY,,,FL,United States,High
17.002,0,4.2505,170.02,10,1,10,751,56,Adult,0,7/9/49,73069.1,F,Y,M,3559 ISLAND RD,,SALEM,39.564937,-75.459167,NJ,United States,Medium
17.002,0,8.501,170.02,10,4,18,1026,56,Adult,0,6/5/04,73069.1,F,Y,M,7980 144TH AVE NE,,MANATI,,,PR,United States,High
18.57326531,0,22.75225,910.09,49,5,11,1236,29,Young adult,0,5/5/63,80221.2,M,N,S,100 JORRCH ST,,OPP,31.271459,-86.260329,AL,United States,Medium
19.30426357,0,124.5125,4980.5,258,3,14,401,55,Adult,1,7/16/47,47371,M,Y,M,634 E KLEINBECK ST,,TWIN FALLS,42.550514,-114.453183,ID,United States,Medium
19.30426357,0,124.5125,4980.5,258,5,13,687,55,Adult,1,1/17/60,47371,M,Y,M,239 8TH AVE NW,,GUAYNABO,,,PR,United States,Medium
19.30426357,0,124.5125,4980.5,258,5,10,1183,55,Adult,1,3/15/56,47371,M,Y,M,1144 MEMORIAL DR SE,,TUPELO,,,MS,United States,Medium
19.30426357,0,124.5125,4980.5,258,3,13,1325,55,Adult,1,4/25/67,47371,M,Y,M,1 JUGGLER MEADOW RD,,WILLS POINT,32.715171,-96.006196,TX,United States,Medium
19.30426357,0,124.5125,4980.5,258,3,14,1464,55,Adult,1,10/28/51,47371,M,Y,M,1900 AVENUE U,,WEATHERFORD,,,TX,United States,Medium
19.30426357,0,124.5125,4980.5,258,1,15,1608,55,Adult,1,2/8/29,47371,M,Y,M,7455 UNIVERSITY OF NC,,MANATI,,,PR,United States,Medium
19.30426357,0,249.025,4980.5,258,2,18,1732,55,Adult,1,5/18/68,47371,M,Y,M,4646 N 11TH ST,,GARRISON,,,ND,United States,High
19.30426357,0,124.5125,4980.5,258,4,14,1848,55,Adult,1,12/9/25,47371,M,Y,M,741 N ELMENDORF ST,,TERRYVILLE,,,CT,United States,Medium
19.30426357,0,249.025,4980.5,258,1,20,1962,55,Adult,1,9/5/08,47371,M,Y,M,T121 MAIN ST,,BOAZ,,,AL,United States,High
20.002,0,50.005,2000.2,100,5,12,519,38,Adult,1,12/26/85,92148.5,M,Y,M,5549 111TH ST NE,,ASTOR,,,FL,United States,Medium
20.002,0,50.005,2000.2,100,5,12,825,33,Adult,1,4/7/34,92148.5,M,Y,M,1275 SUMMER MOUNTAIN RD,,MANATI,,,PR,United States,Medium
23.25813953,0,25.0025,1000.1,43,5,12,829,32,Adult,0,5/18/57,84479.2,M,N,S,1413 AIRLINE N # 2380,,KELSO,,,CA,United States,Medium
24.78521739,0,28.503,570.06,23,4,17,103,55,Adult,0,1/13/97,77000,F,N,M,200 CALLE PEDRO FLORES,,HUMACAO,,,PR,United States,High
24.78521739,0,28.503,570.06,23,5,15,378,44,Adult,0,3/12/70,83287,F,N,M,PO BOX 2097,,BRONX,40.822368,-73.900718,NY,United States,High
24.78521739,0,14.2515,570.06,23,5,15,659,42,Adult,0,4/20/83,83287,F,N,M,459 W CAMPGROUND RD,,SCRANTON,41.410253,-75.658536,PA,United States,Medium
25.29670588,0,53.7555,2150.22,85,3,12,605,21,Young adult,0,5/15/23,92881.8,M,N,M,1201 US HIGHWAY 9 UNIT 5,,EMERSON,,,KY,United States,Medium
25.29670588,0,107.511,2150.22,85,5,20,909,21,Young adult,0,5/8/44,92881.8,M,N,M,1588 US 27,,GREAT NECK,,,NY,United States,High
25.29670588,0,53.7555,2150.22,85,3,15,1561,21,Young adult,0,8/19/39,92881.8,M,N,M,7007 N 5TH PL,,NORTH EAST,,,MD,United States,Medium
30.003,0,75.0075,3000.3,100,3,15,243,33,Adult,1,10/3/23,92148.5,M,Y,M,PO BOX 7780,,BLAINE,,,ME,United States,Medium
30.77230769,0,100.01,2000.2,65,4,15,477,56,Adult,0,11/10/32,12387.6,M,N,M,13600 59TH AVE,,JAMESTOWN,,,NY,United States,High
30.77230769,0,100.01,2000.2,65,4,20,783,56,Adult,0,4/1/88,12387.6,M,N,M,266 ROCKY RD,,DALLAS,,,TX,United States,High
32.67,0,24.5025,490.05,15,4,18,262,42,Adult,0,4/7/54,55221,F,N,M,1001 THRASHER RD,,GLASFORD,,,IL,United States,High
32.67,0,12.25125,490.05,15,1,14,538,43,Adult,0,7/19/08,55221,F,N,M,2 CALLE E VIETNAM,,DORADO,,,PR,United States,Medium
32.67,0,24.5025,490.05,15,5,17,844,47,Adult,0,5/1/99,55221,F,N,M,2707 PINEDALE RD STE A,,BONNIE,,,IL,United States,High
32.67,0,24.5025,490.05,15,1,20,1114,61,Adult,0,3/2/10,55221,F,N,M,172 BLEECKER ST APT 2,,NORTH PLAINFIELD,40.625305,-74.417,NJ,United States,High
32.67,0,12.25125,490.05,15,4,13,1247,55,Adult,0,3/18/26,55221,F,N,M,PO BOX 290,,ARROYO GRANDE,,,CA,United States,Medium
32.67,0,12.25125,490.05,15,3,11,1382,46,Adult,0,9/6/70,55221,F,N,M,4426 W MAIN ST APT AO-101,,PASADENA,,,CA,United States,Medium
32.67,0,24.5025,490.05,15,4,17,1522,48,Adult,0,6/11/38,55221,F,N,M,32237 PRAIRIE AVE,,ORANGE,30.124738,-93.78567,TX,United States,Medium
32.67,0,12.25125,490.05,15,4,10,1665,62,Adult,0,4/14/34,55221,F,N,M,140 ABERDEEN LN,,COLUMBIA CITY,,,IN,United States,Medium
32.67,0,12.25125,490.05,15,3,10,1781,41,Adult,0,12/7/74,55221,F,N,M,283 S AND H DR,,JOLIET,41.531046,-88.08663,IL,United States,Medium
32.67,0,24.5025,490.05,15,4,15,1897,46,Adult,0,2/20/21,55221,F,N,M,908 6TH AVE APT 1 # 3778,,VAN NUYS,,,CA,United States,High
32.67,0,12.25125,490.05,15,1,15,2040,46,Adult,0,1/22/10,55221,F,N,M,334 STRATFORD DR,,MEDINA,,,OH,United States,Medium
33.95697674,0,73.0075,1460.15,43,3,20,701,59,Adult,1,11/24/01,86252.8,F,Y,S,2662 MURRELL LN APT 30,,HOUSTON,,,TX,United States,High
36.75807018,0,209.521,4190.42,114,4,16,95,54,Adult,2,10/23/60,3193.6,F,N,M,1 PENWOOD DR APT 8,,CARMAN,,,IL,United States,High
36.75807018,0,209.521,4190.42,114,1,16,371,54,Adult,2,4/9/20,3193.6,F,N,M,1940 MAPLE DR NW,,HOUSTON,,,TX,United States,High
36.75807018,0,209.521,4190.42,114,2,15,651,54,Adult,2,9/15/64,3193.6,F,N,M,PO BOX 371,,SHAMROCK,,,TX,United States,High
36.75807018,0,104.7605,4190.42,114,5,11,955,54,Adult,2,6/29/68,3193.6,F,N,M,315 BARRICKS RD LOT 118,,NEW YORK,,,NY,United States,Medium
37.88423913,0,174.2675,6970.7,184,2,11,453,35,Adult,2,6/4/09,78373.5,M,N,S,5230 WASSON RD,,SPARTA,,,MO,United States,Medium
37.88423913,0,174.2675,6970.7,184,4,14,760,35,Adult,2,10/15/46,78373.5,M,N,S,PO BOX 364,,BRONX,40.874807,-73.909037,NY,United States,Medium
38.01403061,0,186.26875,7450.75,196,2,11,624,39,Adult,0,5/2/84,72928.2,M,N,S,451 COLLEGE ST RM 225,,CYNTHIANA,38.387397,-84.292285,KY,United States,Medium
38.01403061,0,372.5375,7450.75,196,2,16,1298,39,Adult,0,6/27/18,72928.2,M,N,S,1138 KENSINGTON ST NW,,LA SALLE,41.329438,-89.091129,IL,United States,High
38.01403061,0,186.26875,7450.75,196,5,12,1435,39,Adult,0,5/11/11,72928.2,M,N,S,710 ORLANDO AVE APT 1F,,DORADO,,,PR,United States,Medium
40.004,0,100.01,4000.4,100,5,12,1233,28,Young adult,1,8/19/92,92148.5,M,Y,M,PO BOX 728,,BAYONNE,40.661585,-74.118818,NJ,United States,Medium
40.29340836,626.5625,0,12531.25,311,2,9,579,14,Child,0,3/10/94,45612.9,F,N,S,4999 76TH ST SE,,BORDENTOWN,,,NJ,United States,Low
40.29340836,626.5625,0,12531.25,311,5,9,884,14,Child,0,4/20/67,45612.9,F,N,S,1398 S OLIVE ST,,KULM,,,ND,United States,Low
40.82040816,0,100.01,2000.2,49,1,15,522,29,Young adult,0,5/31/86,80221.2,M,N,S,12 N BROADWAY PMB 23481,,CLIFTON,,,NJ,United States,High
40.82040816,0,50.005,2000.2,49,5,12,828,29,Young adult,0,9/3/84,80221.2,M,N,S,F273 CLARENDON ST,,WASHINGTON,38.932346,-77.021949,DC,United States,Medium
40.91915033,0,156.51575,6260.63,153,4,11,129,28,Young adult,2,11/2/39,20919,M,N,S,27 DUNN AVE,,JERSEY CITY,40.722546,-74.060873,NJ,United States,Medium
40.91915033,0,156.51575,6260.63,153,3,13,692,55,Adult,2,6/1/10,20919,M,N,S,6 LANE ST,,PERU,40.762046,-86.046819,IN,United States,Medium
46.15846154,0,150.015,3000.3,65,5,16,1053,56,Adult,0,8/30/90,12387.6,M,N,M,3061 W TANYA RD,,EL CAMPO,29.177636,-96.282111,TX,United States,High
46.51627907,0,100.01,2000.2,43,1,17,144,28,Young adult,0,4/14/11,78894.2,M,N,M,307 W ELM ST APT 1,,URBANA,,,IL,United States,High
46.51627907,0,100.01,2000.2,43,3,19,419,53,Adult,0,6/27/18,78894.2,M,N,M,A1 CALLE MERCURIO,,HOBOKEN,40.741928,-74.040971,NJ,United States,High
46.51627907,0,100.01,2000.2,43,4,16,523,28,Young adult,0,12/28/73,84479.2,M,N,S,1159 35TH AVE SE,,PAMPA,,,TX,United States,High
46.51627907,0,100.01,2000.2,43,5,18,715,53,Adult,0,12/20/80,78894.2,M,N,M,UNIT 23819,,ANDOVER,,,MA,United States,High
46.51627907,0,50.005,2000.2,43,1,14,1001,34,Adult,0,7/5/57,78894.2,M,N,M,562 UNIVERSITY OF COLORADO,,FLUSHING,40.765756,-73.83107,NY,United States,Medium
46.51627907,0,100.01,2000.2,43,1,17,1099,39,Adult,0,9/10/25,84479.2,M,N,S,4298 FRANK CEM RD,,DALLAS,,,TX,United States,High
48.0048,0,120.012,2400.24,50,3,15,211,41,Adult,2,2/11/25,30998.8,F,N,M,3129 W DRAVUS ST,,PROVO,,,UT,United States,High
48.0048,0,120.012,2400.24,50,4,17,488,41,Adult,2,7/13/49,30998.8,F,N,M,66 MERRY HILL RD,,PHOENIX,,,AZ,United States,High
48.0048,0,60.006,2400.24,50,1,14,794,41,Adult,2,8/21/70,30998.8,F,N,M,BUZON 1800,,NEWMANSTOWN,,,PA,United States,Medium
48.0048,0,60.006,2400.24,50,5,15,1064,41,Adult,2,8/20/15,30998.8,F,N,M,1130 BALTIMORE BLVD STE A,,EXCELSIOR,,,MN,United States,Medium
48.0048,0,120.012,2400.24,50,2,19,1207,41,Adult,2,2/14/20,30998.8,F,N,M,417 E THRESHER RD,,HOBOKEN,40.741928,-74.040971,NJ,United States,High
48.0048,0,120.012,2400.24,50,4,18,1348,41,Adult,2,7/9/83,30998.8,F,N,M,291 6TH AVE W,,JEROME,42.725098,-114.508836,ID,United States,High
48.0048,0,120.012,2400.24,50,5,17,1487,41,Adult,2,10/21/73,30998.8,F,N,M,1935 EASTCHESTER RD APT 27A,,RUSTON,32.531971,-92.629521,LA,United States,High
48.0048,0,120.012,2400.24,50,2,17,1630,41,Adult,2,9/7/80,30998.8,F,N,M,228 STEPP AVE,,MONTCLAIR,,,NJ,United States,High
48.0048,0,120.012,2400.24,50,1,19,1753,41,Adult,2,12/25/38,30998.8,F,N,M,689 CONKLIN ST APT A1,,CASTROVILLE,,,TX,United States,High
48.0048,0,120.012,2400.24,50,5,15,1870,41,Adult,2,8/3/04,30998.8,F,N,M,3532 LARKIN RD LOT 6,,CABO ROJO,,,PR,United States,High
48.0048,0,120.012,2400.24,50,4,16,2004,41,Adult,2,2/9/04,30998.8,F,N,M,142 NW LK JEFFERY RD,,HUNTSVILLE,34.733646,-86.585312,AL,United States,High
50.005,0,50.005,2000.2,40,2,13,520,20,Young adult,0,9/8/92,96681,M,Y,M,HC 73 BOX 1497,,WAYNE,40.037615,-75.393712,PA,United States,Medium
50.005,0,50.005,2000.2,40,1,11,826,20,Young adult,0,6/5/70,96681,M,Y,M,1356 ARGYLE LN S,,DYER,,,IN,United States,Medium
51.36878788,0,339.034,6780.68,132,1,16,239,44,Adult,2,2/15/23,41876.6,F,Y,M,5720 INTEGRITY DR,,GANSEVOORT,,,NY,United States,High
51.36878788,0,169.517,6780.68,132,5,13,515,44,Adult,2,8/26/18,41876.6,F,Y,M,650 W 127TH ST APT 101B,,NEWHALL,,,CA,United States,Medium
51.36878788,0,169.517,6780.68,132,5,10,821,44,Adult,2,10/11/57,41876.6,F,Y,M,3115 W 4TH ST APT 5,,LAKELAND,31.041905,-83.090233,GA,United States,Medium
51.36878788,0,339.034,6780.68,132,1,17,1091,44,Adult,2,5/28/60,41876.6,F,Y,M,831 S VAN BUREN ST,,CLEARLAKE OKS,,,CA,United States,High
52.41896552,0,38.00375,1520.15,29,1,10,440,58,Adult,2,1/22/03,93559.1,F,N,S,GENERAL DELIVERY,,HOLMDEL,,,NJ,United States,Medium
52.41896552,0,38.00375,1520.15,29,1,12,747,58,Adult,2,11/4/34,93559.1,F,N,S,130 SPRING LAKE RD,,BOSTON,42.331585,-71.052822,MA,United States,Medium
52.41896552,0,76.0075,1520.15,29,4,18,1189,58,Adult,2,1/10/56,93559.1,F,N,S,2075 SHOREVIEW AVE,,GRAND RAPIDS,,,MI,United States,High
52.41896552,0,38.00375,1520.15,29,3,12,1332,58,Adult,2,4/29/83,93559.1,F,N,S,3225 W TALINUM PL,,CHESTERFIELD,,,MI,United States,Medium
52.41896552,0,38.00375,1520.15,29,1,14,1738,58,Adult,2,9/24/19,93559.1,F,N,S,20501 W GLENN HWY,,MOTT,,,ND,United States,Medium
52.41896552,0,38.00375,1520.15,29,2,11,1855,58,Adult,2,9/19/40,93559.1,F,N,S,UNIT 26124 BOX 2851,,CHESTER,,,CT,United States,Medium
52.41896552,0,76.0075,1520.15,29,1,20,1974,58,Adult,2,8/1/75,93559.1,F,N,S,465 E 14TH ST,,BRONX,,,NY,United States,High
52.64263736,0,119.762,4790.48,91,3,13,20,53,Adult,2,8/31/59,67388,F,N,M,3711 CHIMERA CT,,CLEMSON,,,SC,United States,Medium
52.64263736,0,119.762,4790.48,91,3,10,298,53,Adult,2,8/28/70,67388,F,N,M,RR 3 BOX 176,,ROXBURY CROSSING,42.335496,-71.098766,MA,United States,Medium
52.64263736,0,239.524,4790.48,91,4,20,576,53,Adult,2,12/27/97,67388,F,N,M,SE1 CALLE ROSA,,IRVINGTON,,,NY,United States,High
52.64263736,0,239.524,4790.48,91,5,18,881,53,Adult,2,1/7/92,67388,F,N,M,55 N HILLVIEW CIR,,KENT,47.419107,-122.199333,WA,United States,High
52.64263736,0,119.762,4790.48,91,4,13,1964,53,Adult,2,10/24/18,67388,F,N,M,7418 CAMERON RD APT 101,,MILLVILLE,39.394123,-75.041183,NJ,United States,Medium
52.64263736,0,239.524,4790.48,91,1,17,1972,53,Adult,1,1/16/41,67388,M,N,M,PO BOX 29,,LONG BEACH,,,CA,United States,High
52.64263736,0,239.524,4790.48,91,4,19,1980,53,Adult,1,2/15/65,67388,M,N,M,S2448 STATE ROAD 35,,NEWPORT,,,ME,United States,High
52.64263736,0,239.524,4790.48,91,2,20,1991,53,Adult,0,8/9/19,67388,M,N,M,1665 SW COUNTY ROAD 360A,,BEAUMONT,,,TX,United States,High
52.64263736,0,119.762,4790.48,91,4,11,1993,53,Adult,0,4/4/84,67388,M,N,M,194 MONTEMAR APTS,,KANSAS CITY,,,MO,United States,Medium
52.64263736,0,239.524,4790.48,91,2,17,1999,53,Adult,1,4/30/42,67388,M,N,M,114 COOPERS LN,,GREAT NECK,,,NY,United States,High
52.64263736,0,239.524,4790.48,91,5,20,2007,53,Adult,0,11/5/37,67388,M,N,M,502 S RENSSELAER ST,,THOMAS,,,OK,United States,High
52.64263736,0,239.524,4790.48,91,1,16,2012,53,Adult,1,8/6/63,67388,M,N,M,9661 AUDELIA RD STE 109,,TIPTON,,,IA,United States,High
53.91164062,0,345.0345,6900.69,128,3,15,187,30,Adult,1,12/31/80,69406.7,M,Y,M,595 BLOOMFIELD AVE,,MANHATTAN,,,KS,United States,High
53.91164062,0,345.0345,6900.69,128,3,16,464,38,Adult,1,2/3/36,69406.7,M,Y,M,2 CALLE VENDIG,,SYLACAUGA,33.17773,-86.257062,AL,United States,High
53.91164062,0,172.51725,6900.69,128,5,13,771,47,Adult,1,11/13/27,69406.7,M,Y,M,6287 ARCH BRIDGE DR,,MONROE,32.511728,-92.088278,LA,United States,Medium
53.91164062,0,172.51725,6900.69,128,1,10,1042,47,Adult,1,9/28/35,69406.7,M,Y,M,25036 SECT MEJIAS,,DALLAS,,,TX,United States,Medium
56.11666667,0,50.505,2020.2,36,1,10,131,40,Adult,0,6/24/91,2121.36,F,N,S,1553 BARTON AVE,,AMBROSE,,,ND,United States,Medium
56.11666667,0,50.505,2020.2,36,3,10,406,40,Adult,0,4/9/48,2121.36,F,N,S,9700 GITEBA PL,,SILOAM SPGS,,,AR,United States,Medium
