ID,AGE_GROUP,CHURNRISK,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TAXID,CREDITCARD,DOB,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,ZIP4,LONGITUDE,LATITUDE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD,NETREALIZEDLOSSES_YTD
10,"Young adult","Low","F","M",2,+0047902.00,"N",26,"817366094","2046608099384582",19050201,"21579 LARAMIE RD",,"PHILADELPHIA","PA","19104","0",-075.206995,+039.964314,+0017441.74,49,8720,872,+0012.25,2,8,+00000872.0870,+00000000.00000
11,"Child","High","M","M",1,+0007545.96,"Y",17,"451541224","4045479553572871",19241001,"1 PLAINVILLE CIR",,"HAVERHILL","MA","01835","0",,,+0022392.24,178,11196,1119,+0044.50,1,5,+00000000.0000,+00001119.61200
12,"Adult","Medium","F","S",0,+0078851.30,"N",48,"124158559","8979358234254837",19330614,"4716 SW VIOLA CT",,"TENAFLY","NJ","07670","1057",,,+0000370.04,28,92,9,+0004.20,5,13,+00000000.0000,+00000009.25100
13,"Adult","High","F","S",1,+0017540.70,"Y",63,"163930462","9050922700714506",19421212,"1 HAUN RD",,"PHAROAH","OK","74880","0",-096.126600,+035.335300,+0022172.22,13,11086,1108,+0003.25,4,9,+00000000.0000,+00001108.61100
14,"Adult","High","F","M",0,+0083891.90,"Y",61,"165912006","6325263828540234",19470125,"4220 BARDSTOWN RD STE E",,"ARENA","ND","58494","0",,,+0028922.89,45,14461,1446,+0011.25,5,6,+00000000.0000,+00001446.14450
15,"Adult","Low","F","M",2,+0028220.80,"N",39,"235315405","4562971044212296",19460220,"10167 OAK HOLLOW CIR",,"STRAUSSTOWN","PA","19559","0",,,+0026492.65,12,13246,1324,+0003.00,1,9,+00001324.6325,+00000000.00000
16,"Child","Low","F","S",0,+0028589.10,"N",16,"730825728","8111200911782934",19161005,"D18 CALLE 5",,"HOUSTON","TX","77008","4708",,,+0013191.32,87,6595,659,+0021.75,1,7,+00000659.5660,+00000000.00000
17,"Adult","High","F","M",2,+0005237.63,"N",49,"908144755","1349244456282176",19381002,"3579 N 47TH AVE",,"KENOSHA","WI","53142","0",,,+0013321.33,56,6660,666,+0014.00,3,7,+00000000.0000,+00000666.06650
18,"Adult","Low","M","S",2,+0089459.90,"N",53,"357654459","5752523444563958",19880801,"1310 JOHNSON DR APT 1727 PMB 9182",,"BAJADERO","PR","0616","0",,,+0011541.15,22,5770,577,+0005.50,2,9,+00000577.0575,+00000000.00000
19,"Adult","High","F","S",1,+0013576.50,"N",39,"101289783","6294195441964591",19270412,"4097 SANGAMON ST",,"JERSEY CITY","NJ","07305","0",-074.099050,+040.689953,+0014831.48,25,7415,741,+0006.25,5,7,+00000000.0000,+00000741.57400
20,"Adult","Medium","F","M",2,+0067388.00,"N",53,"144644584","8710933477799908",19590831,"3711 CHIMERA CT",,"CLEMSON","SC","29631","0",,,+0004790.48,91,1197,119,+0013.65,3,13,+00000000.0000,+00000119.76200
21,"Adult","Medium","F","M",1,+0057063.00,"Y",52,"422857673","8825552991904011",19630327,"900 GABBEN LN",,"RAHWAY","NJ","07065","0",-074.275844,+040.612345,+0016791.68,81,8395,839,+0020.25,1,6,+00000000.0000,+00000839.58400
22,"Adult","High","F","M",2,+0084166.10,"N",54,"124101396","1460799038353957",19180104,"3131 W MANSELL ST",,"JANESVILLE","CA","96114","0",,,+0003280.33,11,820,82,+0001.65,4,15,+00000000.0000,+00000164.01650
23,"Adult","Low","F","S",1,+0007737.94,"N",43,"383856468","7227724785983358",19660529,"1055 OVINGTON AVE",,"BELCOURT","ND","58316","0",,,+0011051.11,50,5525,552,+0012.50,1,7,+00000552.5555,+00000000.00000
24,"Adult","Low","M","S",2,+0100020.00,"N",50,"147312538","7403667971746084",19180109,"919 PARK AVE APT 2L",,"MARION","IN","46952","0",-085.660023,+040.562150,+0021372.14,293,10686,1068,+0073.25,3,9,+00001068.6070,+00000000.00000
25,"Young adult","High","F","M",2,+0045287.60,"Y",29,"171549610","4135446386703736",19720406,"PO BOX 1484",,"HOBOKEN","NJ","07030","0",-074.040971,+040.741928,+0000000.00,0,0,0,+0000.00,0,0,+00000000.0000,+00000000.00000
26,"Adult","Low","F","M",2,+0059613.10,"N",34,"100067800","6421595280500096",19990717,"993 CEDAR ST",,"MILLTOWN","WI","54858","0",,,+0012371.24,163,6185,618,+0040.75,2,5,+00000618.5620,+00000000.00000
27,"Adult","High","F","S",1,+0016326.70,"N",51,"438552758","6626834475571162",19960204,"1100 GRAND ST APT 407",,"SCHULENBURG","TX","78956","0",-096.907808,+029.675959,+0000000.00,0,0,0,+0000.00,0,0,+00000000.0000,+00000000.00000
28,"Adult","Low","F","S",2,+0009559.78,"N",51,"684764512","4126848473512449",19820813,"1575 S MARKET ST STE 109",,"HUNTSVILLE","AL","35801","0",-086.585312,+034.733646,+0018311.83,59,9155,915,+0014.75,4,8,+00000915.5915,+00000000.00000
29,"Adult","High","F","M",2,+0042031.80,"N",51,"112019414","7446320238860000",19070204,"3077 CALLE BERMUDA PMB 108065",,"PHOENIX","AZ","85040","0",,,+0020452.05,39,10226,1022,+0009.75,3,8,+00000000.0000,+00001022.60250
30,"Young adult","Low","F","M",2,+0083284.10,"Y",28,"490486357","6077380700173603",19270606,"PO BOX 10092",,"JACKSONVILLE","FL","32218","0",,,+0026912.69,9,13456,1345,+0002.25,3,6,+00001345.6345,+00000000.00000
31,"Young adult","High","M","M",1,+0039229.10,"N",26,"161727385","4879693752675334",19190731,"267 W 246TH ST",,"HOBOKEN","NJ","07030","1789",-074.040971,+040.741928,+0028822.88,13,14411,1441,+0003.25,3,6,+00000000.0000,+00001441.14400
32,"Adult","High","F","S",0,+0068427.40,"N",42,"110432161","4561878740139876",19990421,"PO BOX 3061",,"SAINT PAUL","MN","55106","0",-093.034280,+044.975861,+0023762.38,50,11881,1188,+0012.50,1,8,+00000000.0000,+00001188.11900
33,"Adult","High","M","S",0,+0003601.71,"N",49,"181469555","8702417264590462",19350212,"1200 KELHIP RD",,"DALLAS","NC","01101","0",,,+0009570.96,111,2392,239,+0016.65,1,19,+00000000.0000,+00000478.54800
34,"Young adult","Low","F","M",0,+0072642.60,"N",28,"716721191","1281553281090235",19991129,"5627 N 16TH ST APT A11",,"MEMPHIS","TN","38115","0",,,+0018661.87,20,9330,933,+0005.00,1,10,+00000933.0935,+00000000.00000
35,"Adult","High","F","S",0,+0098716.30,"N",56,"152056922","1752682360180863",19200508,"B176 I ST",,"ROCHESTER","NY","14621","0",-077.604341,+043.193416,+0020972.10,13,10486,1048,+0003.25,2,7,+00000000.0000,+00001048.60500
36,"Adult","Low","F","S",2,+0066182.70,"Y",62,"130092435","5075837963579047",19590224,"PO BOX 10097",,"NAVARRE","OH","44662","0",-081.523123,+040.727928,+0011701.17,47,5850,585,+0011.75,3,5,+00000585.0585,+00000000.00000
37,"Adult","High","F","M",2,+0084789.30,"N",50,"899266055","7606115967222336",19420428,"5028 E STATE ROUTE 185",,"SAN ANTONIO","TX","78210","0",-098.446634,+029.398346,+0014221.42,10,7110,711,+0002.50,4,10,+00000000.0000,+00000711.07100
38,"Adult","High","F","M",2,+0035976.50,"Y",49,"143535626","9071411873275732",19750331,"365 CALLE MENDEZ VIGO PMB 24487",,"RACELAND","LA","70394","0",,,+0018851.89,31,9425,942,+0007.75,1,9,+00000000.0000,+00000942.59450
39,"Senior","Low","F","M",0,+0032703.10,"Y",65,"464031422","7893071532822576",19640726,"400 MOUNT ZION RD",,"ALLEN","TX","75002","0",,,+0016801.68,56,8400,840,+0014.00,4,8,+00000840.0840,+00000000.00000
40,"Adult","Low","F","M",1,+0077129.10,"Y",62,"209689255","1205022323303637",19190608,"A1 URB CABRERA",,"WILSON","NC","27893","0",-077.914615,+035.726554,+0024772.48,20,12386,1238,+0005.00,4,5,+00001238.6240,+00000000.00000
41,"Adult","Low","F","M",2,+0008204.72,"N",53,"105238710","7478611844590415",19110607,"9 CHURCH ST",,"COACHELLA","CA","92236","0",,,+0015591.56,24,7795,779,+0006.00,1,10,+00000779.5780,+00000000.00000
42,"Adult","High","M","M",1,+0097180.40,"N",51,"915572646","1762699792535821",19310427,"3922 US HIGHWAY 1",,"HOLLIDAYSBURG","PA","16648","2461",,,+0008210.82,45,2052,205,+0006.75,5,15,+00000000.0000,+00000410.54100
43,"Adult","Medium","F","M",0,+0080405.10,"N",60,"119099449","4580827044849115",19411227,"26808 STATE HIGHWAY M # 1576",,"LEECHBURG","PA","15656","0",,,+0002910.29,17,727,72,+0002.55,1,13,+00000000.0000,+00000072.75725
44,"Adult","Low","F","S",2,+0038280.00,"N",34,"269169172","2113087385882919",19430625,"834 E LEISURE LN",,"CABO ROJO","PR","0623","0",,,+0011641.16,74,5820,582,+0018.50,2,5,+00000582.0580,+00000000.00000
45,"Adult","High","M","S",0,+0064136.60,"Y",61,"427209064","7118288531246179",19780522,"100 CALLE CISNE",,"FOREST HILLS","NY","11375","0",,,+0016211.62,125,8105,810,+0031.25,4,8,+00000000.0000,+00000810.58100
46,"Adult","High","F","M",2,+0045429.70,"Y",62,"142630990","5589694495219344",19300216,"305 PARK RD",,"CAROLINA","PR","0979","0",,,+0024702.47,73,12351,1235,+0018.25,3,9,+00000000.0000,+00001235.12350
47,"Adult","High","F","S",0,+0025285.50,"N",54,"999994901","3932305630745960",19490507,"6576 S NORFOLK ST",,"MODESTO","CA","95350","0",,,+0009370.94,11,2342,234,+0001.65,4,18,+00000000.0000,+00000468.54700
48,"Adult","High","F","M",2,+0077551.10,"Y",34,"518023539","9003548451729280",19170222,"41 CALLE UN",,"OXFORD","CT","06478","0",,,+0020532.05,41,10266,1026,+0010.25,5,5,+00000000.0000,+00001026.60250
49,"Child","Medium","F","M",0,+0038538.40,"N",12,"178396436","2019231346353505",19491024,"51 PEMBROKE DR",,"PHILADELPHIA","PA","19152","0",,,+0022862.29,16,11431,1143,+0004.00,1,10,+00000000.0000,+00001143.11450
50,"Adult","High","F","S",0,+0069350.50,"Y",57,"201289273","9184591528181925",19180816,"14 FOX",,"HOBOKEN","NJ","07030","0",-074.040971,+040.741928,+0001900.19,25,475,47,+0003.75,3,19,+00000000.0000,+00000095.00950
51,"Young adult","Low","M","S",2,+0043634.50,"N",22,"196446938","1830844418000107",19071128,"1 CLEARVIEW AVE",,"APO","AE","09074","137",,,+0029442.94,104,14721,1472,+0026.00,5,10,+00001472.1470,+00000000.00000
52,"Adult","High","F","S",1,+0013109.10,"N",63,"593383865","6407151363758150",19440223,"292 COLLEGE LN",,"GRAND ISLAND","NY","14072","0",,,+0022382.24,40,11191,1119,+0010.00,2,7,+00000000.0000,+00001119.11200
53,"Adult","Low","M","S",1,+0092647.50,"N",56,"110642304","2350322422131910",19250927,"56 S CATHERINE ST APT 165",,"OSAKIS","MN","56360","0",,,+0016041.60,10,8020,802,+0002.50,5,5,+00000802.0800,+00000000.00000
54,"Adult","High","F","S",2,+0021021.60,"Y",63,"200842200","5824057064718588",19050601,"1042 RANCHO DURANGO RD",,"APO","AE","09036","148",,,+0001000.10,11,250,25,+0001.65,1,20,+00000000.0000,+00000050.00500
55,"Adult","Low","M","S",0,+0074460.70,"Y",55,"153246377","4283526973638856",19620304,"1945 BARRINGTON FERRY RD",,"GAINESVILLE","FL","32607","0",-082.408748,+029.643582,+0025532.55,179,12766,1276,+0044.75,3,5,+00001276.6275,+00000000.00000
56,"Adult","Low","F","S",2,+0028787.40,"N",42,"674435498","3825167800771248",19400101,"4229 US HIGHWAY 17",,"WEST MIFFLIN","PA","15122","5509",-079.874365,+040.366387,+0027972.80,58,13986,1398,+0014.50,1,10,+00001398.6400,+00000000.00000
57,"Adult","Low","M","M",1,+0013091.60,"N",59,"120152020","5432324961413634",19461216,"PO BOX 40317",,"CRAFTON","PA","15205","0",,,+0022792.28,20,11396,1139,+0005.00,1,8,+00001139.6140,+00000000.00000
58,"Adult","Low","F","M",2,+0062061.80,"Y",46,"197101653","7420841058238848",19470516,"2144 N FLORIDA MANGO RD",,"KENEDY","TX","78119","0",-097.845388,+028.827449,+0029862.99,52,14931,1493,+0013.00,1,8,+00001493.1495,+00000000.00000
59,"Young adult","High","F","M",1,+0020550.90,"Y",22,"135920001","2254043822500565",19220814,"7664 N SHORE PL",,"WALNUT CREEK","CA","94596","0",,,+0027722.77,57,13861,1386,+0014.25,5,7,+00000000.0000,+00001386.13850
60,"Young adult","High","M","M",2,+0001765.41,"N",19,"174230708","3593555216262313",19850223,"2157 UNION SCHOOL RD SW",,"FAIRVIEW","NJ","07022","0",,,+0003040.30,44,760,76,+0006.60,5,15,+00000000.0000,+00000152.01500
61,"Adult","High","F","S",2,+0019131.10,"N",56,"314019243","8501024501913449",19161018,"147 COND TORRES DE CAROLINA",,"CAROLINA","PR","0979","0",,,+0022152.22,34,11076,1107,+0008.50,2,5,+00000000.0000,+00001107.61100
62,"Adult","High","F","S",2,+0083073.70,"N",40,"137537274","2923570559663738",19840313,"14854 STATE HIGHWAY 34 PMB 14686",,"HUALAPAI","AZ","86412","0",,,+0000000.00,0,0,0,+0000.00,0,0,+00000000.0000,+00000000.00000
63,"Adult","Medium","M","M",2,+0042750.30,"Y",50,"284662870","8880788709838447",19260616,"19 101ST AVE",,"LA QUINTA","CA","92253","0",,,+0020592.06,112,10296,1029,+0028.00,1,8,+00001029.6030,+00000000.00000
64,"Adult","High","F","S",2,+0002842.55,"N",46,"212871479","6621308952138798",19830105,"19518 SE 95TH ST",,"BROOKLEY FIELD","AL","36601","0",,,+0000000.00,0,0,0,+0000.00,0,0,+00000000.0000,+00000000.00000
65,"Adult","High","M","M",2,+0022358.10,"N",53,"209209394","3765476668355499",19150319,"84 S 2ND ST",,"DALTON","GA","30721","0",,,+0015541.55,12,7770,777,+0003.00,2,9,+00000000.0000,+00000777.07750
66,"Young adult","Medium","M","M",0,+0047870.80,"Y",27,"180523209","6679223923871719",19771126,"13232 IVAN TORS BLVD",,"MOUNT HOLLY","NJ","08060","0",,,+0002000.20,12,500,50,+0001.80,1,11,+00000000.0000,+00000050.00500
67,"Adult","Low","F","S",2,+0006440.46,"Y",53,"128215549","2396213863664854",19420301,"1223 S LAKES END DR APT A1",,"COGAN STATION","PA","17728","0",,,+0022662.27,27,11331,1133,+0006.75,3,8,+00001133.1135,+00000000.00000
68,"Adult","High","F","S",0,+0007325.50,"N",37,"843876347","5809909439018243",19460820,"23755AJ LORAIN RD STE 100",,"CAMAS","WA","98607","0",,,+0028522.85,161,14261,1426,+0040.25,3,8,+00000000.0000,+00001426.14250
69,"Adult","High","M","M",2,+0028766.90,"N",47,"109310470","8948224162469086",19420403,"510 E HIGH ST STE 53",,"VEGA BAJA","PR","0693","3538",,,+0006110.61,58,1527,152,+0008.70,5,16,+00000000.0000,+00000305.53050
70,"Young adult","Low","M","M",2,+0091272.20,"Y",25,"174618692","5766558199601508",19480925,"548 AVENUE C # 4662 # 3129",,"HUNTSVILLE","AL","35810","0",,,+0026992.70,13,13496,1349,+0003.25,4,8,+00001349.6350,+00000000.00000
71,"Adult","High","M","S",0,+0065000.00,"Y",46,"793285252","2163018201969889",19970303,"173 NE 698TH ST",,"KENOSHA","WI","53143","0",,,+0011631.16,115,5815,581,+0028.75,5,8,+00000000.0000,+00000581.55800
72,"Young adult","Low","M","M",2,+0001406.05,"Y",19,"119834342","7717116166965294",19841014,"2901 FRANCIS LEWIS BLVD",,"WETHERSFIELD","CT","06109","0",,,+0011551.16,15,5775,577,+0003.75,5,9,+00000577.5580,+00000000.00000
73,"Adult","Low","F","S",0,+0073228.30,"N",62,"514275920","5956221558972535",19690226,"1312 GLENMAR AVE",,"ROXBURY","MA","02119","0",-071.080004,+042.328690,+0022472.25,28,11236,1123,+0007.00,4,5,+00001123.6125,+00000000.00000
74,"Adult","Medium","F","S",2,+0076231.90,"N",64,"198427974","6438406753166080",19810226,"4800 COBBHAM RD",,"JOLIET","IL","60436","0",-088.119607,+041.520530,+0002010.20,150,502,50,+0022.50,3,13,+00000000.0000,+00000050.25500
75,"Adult","High","M","M",1,+0064792.30,"N",52,"146751259","6225141602058809",19170516,"151 S BISHOP AVE APT B8",,"GRAND TOWER","IL","62942","0",-089.500268,+037.627967,+0013051.31,36,6525,652,+0009.00,1,9,+00000000.0000,+00000652.56550
76,"Adult","Low","F","S",0,+0093322.10,"Y",40,"941484985","8359225696217586",19890719,"1427 SUNSET AVE NE",,"CITRUS SPRINGS","FL","34434","0",,,+0029922.99,8,14961,1496,+0002.00,1,7,+00001496.1495,+00000000.00000
77,"Adult","Medium","M","M",1,+0063437.30,"N",64,"126310600","7684676050530169",19110416,"1000 CUSTER HOLLOW RD",,"FRIENDSHIP","TN","38034","0",,,+0000680.07,10,170,17,+0001.50,2,10,+00000000.0000,+00000017.00175
78,"Adult","High","M","M",2,+0049910.70,"Y",52,"320023845","8712752158627150",19080919,"M F S  INTERNET",,"SAN ANTONIO","TX","78208","0",-098.471286,+029.442981,+0027422.74,23,13711,1371,+0005.75,5,10,+00000000.0000,+00001371.13700
79,"Adult","Low","M","M",0,+0076161.40,"Y",45,"145950852","4763171191417309",19371016,"6008 93RD AVE NE",,"BROWNSVILLE","MD","21715","0",,,+0011961.20,25,5980,598,+0006.25,2,10,+00000598.0600,+00000000.00000
80,"Child","Low","F","M",2,+0055860.00,"Y",15,"899586715","4563856697669179",19920314,"4870 BERNAL AVE APT D",,"HOUSTON","TX","77082","3318",,,+0016011.60,10,8005,800,+0002.50,2,9,+00000800.5800,+00000000.00000
81,"Senior","High","F","S",1,+0012686.00,"N",65,"185432930","3469845478374863",19690505,"1047 FIFE CT",,"FARMER CITY","IL","61842","0",,,+0023232.32,80,11616,1161,+0020.00,3,10,+00000000.0000,+00001161.61600
82,"Adult","Low","M","M",2,+0057360.80,"Y",53,"127649425","4901596913568607",19761019,"639 CALLE BRISA TROPICAL",,"WOODBRIDGE","CT","06525","2326",,,+0010361.04,57,5180,518,+0014.25,2,5,+00000518.0520,+00000000.00000
83,"Adult","Medium","M","M",0,+0092414.70,"Y",46,"958925102","5882711835461216",19360509,"1 GRANDVIEW DR",,"CAMDEN","IL","62319","0",,,+0029432.94,10,14716,1471,+0002.50,2,10,+00000000.0000,+00001471.64700
84,"Adult","High","M","M",1,+0060102.70,"N",42,"129185597","1389223588834222",19260308,"651 CROWN POINT RD",,"ELBERTON","GA","30635","0",,,+0009840.98,62,2460,246,+0009.30,1,20,+00000000.0000,+00000492.04900
85,"Adult","Low","F","M",2,+0017888.70,"N",55,"147733645","3898728780466647",19820321,"7301 NW 18TH ST APT AM-101",,"DOWNSVILLE","LA","71234","0",,,+0029412.94,332,14706,1470,+0083.00,2,6,+00001470.6470,+00000000.00000
86,"Adult","High","F","S",1,+0012526.30,"N",54,"343905229","2732511606886598",19400710,"194 W SHORE RD",,"BATH","NY","14810","0",,,+0011721.17,28,5860,586,+0007.00,2,10,+00000000.0000,+00000586.05850
87,"Adult","Low","F","S",2,+0014578.80,"Y",61,"196629147","7524135756248680",19660309,"188 BELGROVE DR",,"EDGEWOOD","TX","75117","0",-095.883782,+032.698840,+0011911.19,95,5955,595,+0023.75,1,10,+00000595.5595,+00000000.00000
88,"Adult","High","M","M",0,+0078572.20,"Y",42,"531373016","5402853475669671",19180412,"5456 N DEL MAR AVE APT 101X",,"ADA","OK","74820","0",-096.681753,+034.786920,+0021812.18,29,10906,1090,+0007.25,5,8,+00000000.0000,+00001090.60900
89,"Adult","High","F","M",2,+0048238.80,"N",35,"167438115","7140840931788934",19291123,"426 BEECH ST APT 1A",,"MORTON","PA","19070","0",,,+0023282.33,168,11641,1164,+0042.00,4,6,+00000000.0000,+00001164.11650
90,"Child","High","F","M",0,+0028770.90,"N",12,"117800783","3243878625132249",19191127,"R & R CAMPER LAND",,"TRAVELERS REST","SC","29690","0",,,+0027992.80,16,13996,1399,+0004.00,2,5,+00000000.0000,+00001399.64000
91,"Adult","Medium","F","M",2,+0087578.20,"Y",53,"705603725","7787282029011698",19450606,"PO BOX G",,"NEW BEDFORD","MA","02744","0",,,+0000290.03,22,72,7,+0003.30,5,12,+00000000.0000,+00000007.25075
92,"Child","Low","F","M",2,+0086695.40,"N",14,"481457359","4220325251081914",19771017,"7134 69TH ST SW",,"LOCKHART","TX","78644","0",-097.691400,+029.869900,+0025942.59,32,12971,1297,+0008.00,4,10,+00001297.1295,+00000000.00000
93,"Adult","High","F","S",2,+0076791.20,"N",61,"405896937","4439156505669092",19350316,"1301 TRUMANSBURG RD STE Q",,"ISABELA","PR","0662","0",,,+0020712.07,23,10356,1035,+0005.75,5,5,+00000000.0000,+00001035.60350
94,"Child","High","F","D",0,+0030763.80,"Y",14,"990266595","9889240775417682",19711120,"165 COND AMAPOLA",,"PIEDMONT","OK","73078","0",,,+0021322.13,35,10661,1066,+0008.75,1,8,+00000000.0000,+00001066.10650
95,"Adult","High","F","M",2,+0003193.60,"N",54,"462688506","6022101718644256",19601023,"1 PENWOOD DR APT 8",,"CARMAN","IL","61425","0",,,+0004190.42,114,1047,104,+0017.10,4,16,+00000000.0000,+00000209.52100
96,"Child","Medium","M","M",1,+0069680.90,"N",16,"350507229","8507603517856951",19810707,"PO BOX 184",,"LOUISVILLE","KY","40203","0",-085.754510,+038.240544,+0007670.77,32,1917,191,+0004.80,1,10,+00000000.0000,+00000191.76925
97,"Adult","High","F","M",0,+0083287.00,"N",45,"648015040","7572489353454619",19381123,"209 WILLOW AVE APT 2C # 2988",,"RINER","VA","24149","0",,,+0029642.96,90,14821,1482,+0022.50,3,7,+00000000.0000,+00001482.14800
98,"Young adult","Low","M","S",0,+0002056.06,"Y",19,"174484400","6134634504351545",19021225,"1356 IMESON ST",,"EL PASO","TX","79925","0",-106.344110,+031.794880,+0024072.41,27,12036,1203,+0006.75,3,9,+00001203.6205,+00000000.00000
99,"Adult","High","F","M",2,+0007776.60,"N",36,"119438357","5673962708155374",19700223,"1958 ELAINE ST",,"TAHLEQUAH","OK","74464","0",,,+0025872.59,68,12936,1293,+0017.00,5,7,+00000000.0000,+00001293.62950
100,"Adult","Low","M","M",1,+0002067.82,"N",48,"174111974","1785991373356861",19120331,"PO BOX 28126",,"ALPENA","MI","49707","0",-083.434871,+045.064883,+0015251.53,70,7625,762,+0017.50,3,6,+00000762.5765,+00000000.00000
101,"Adult","High","M","S",0,+0066666.00,"N",52,"134354728","5456267844766724",19821025,"8385 SOFT WIND DR",,"FAUCETT","MO","64448","0",,,+0004580.46,8,1145,114,+0001.20,2,18,+00000000.0000,+00000229.02300
102,"Adult","Medium","F","M",2,+0069343.30,"N",42,"198766882","4464350056725850",19560603,"3569 OLDFIELD RD",,"PIEDMONT","OK","73078","0",,,+0006360.64,15,1590,159,+0002.25,1,12,+00000000.0000,+00000159.01600
103,"Adult","High","F","M",0,+0077000.00,"N",55,"791979521","5744758719388060",19970113,"200 CALLE PEDRO FLORES",,"HUMACAO","PR","0791","0",,,+0000570.06,23,142,14,+0003.45,4,17,+00000000.0000,+00000028.50300
104,"Adult","Medium","F","M",0,+0014932.50,"N",52,"185782320","8014016844674554",19931220,"PO BOX 3292",,"FAIRFIELD","IL","62837","0",-088.360047,+038.381199,+0004910.49,6,1227,122,+0000.90,3,14,+00000000.0000,+00000122.76225
105,"Adult","Medium","F","S",0,+0027498.10,"N",42,"182446492","2759955468171088",19790801,"119 MASS AVE",,"DORCHESTER","MA","02125","0",-071.061720,+042.317808,+0002200.22,9,550,55,+0001.35,3,11,+00000000.0000,+00000055.00550
106,"Adult","High","F","M",2,+0021419.90,"N",60,"112008466","7804838107020218",19560529,"3402 264TH AVE SE",,"CALDWELL","NJ","07006","0",,,+0026392.64,103,13196,1319,+0025.75,3,6,+00000000.0000,+00001319.63200
107,"Young adult","High","F","M",2,+0030665.20,"Y",23,"651824537","4414255715299604",19720814,"11019 SE 200TH ST",,"WILDWOOD","NJ","08260","0",-074.816989,+038.989925,+0005830.58,63,1457,145,+0009.45,2,19,+00000000.0000,+00000291.52900
108,"Adult","High","F","M",1,+0066000.00,"Y",63,"940087283","6562430618329178",19211221,"1366 CULLEN AVE",,"MATTESON","IL","60443","0",,,+0006080.61,30,1520,152,+0004.50,2,18,+00000000.0000,+00000304.03050
109,"Adult","Low","F","M",2,+0050561.30,"N",52,"432032311","8138283274714009",19070215,"2479 ROBINSON RD SE",,"LUMBERTON","NC","28358","7128",-078.983611,+034.641651,+0016601.66,113,8300,830,+0028.25,1,9,+00000830.0830,+00000000.00000
